FDID,Fire Dept Name,HQ Addr1,HQ Addr2,HQ City,County,HQ State,HQ Zip,Mail Addr1,Mail Addr2,Mail PO Box,Mail City,Mail State,Mail Zip,Website,Number Of Stations,Dept Type,Organization Type,Active Firefighters - Career,Active Firefighters - Volunteer,Active Firefighters - Paid per Call,Non-Firefighting - Civilian,Non-Firefighting - Volunteer,Station Name,Station PO Box,Station Addr1,Station Addr2,Station City,Station State,Station Zip
"25006","3-G Volunteer Fire Company, Inc.","Blue RD","PO Box 112","Glenfield","LEWIS                    ","NY","13345","Blue RD","","PO Box 112","Glenfield","NY","13345","","2","Volunteer","Local (includes career, combination, and volunteer)","0","42","0","0","0","3-G Volunteer Fire Company, Inc.","PO Box 12","Brantingham RD","","Brantingham","NY","13312"
"AR403","3-N-1 Volunteer Fire Department","142 High ST","","Rosanky","BASTROP                  ","TX","78953","","","PO Box 51","Rosanky","TX","78953-0051","https://www.3n1vfd.org","2","Volunteer","Other","0","16","0","0","4","String Prairie Fire Station","","3744 South State Highway 304","","Rosanky","TX","78953"
"57050","7th Ward Volunteer Fire Department & Vermilion Parish Fire Prot. Dist. #7","20206 N LA Highway 82","","Abbeville","VERMILION                ","LA","70510-0373","20206 N LA Highway 82","","","Abbeville","LA","70510-0373","","2","Mostly Volunteer","Local (includes career, combination, and volunteer)","3","23","0","0","0","North Sub- Station","","11603 LA Highway 693","","Abbeville","LA","70510"
"57001","Abbeville Fire Department","210 W Vermilion ST","","Abbeville","VERMILION                ","LA","70510-4612","210 W Vermilion ST","","","Abbeville","LA","70510-4612","","4","Career","Local (includes career, combination, and volunteer)","37","0","0","1","0","Sub Station 1","","2021 Veterans Memorial DR","","Abbeville","LA","70510"
"57001","Abbeville Fire Department","210 W Vermilion ST","","Abbeville","VERMILION                ","LA","70510-4612","210 W Vermilion ST","","","Abbeville","LA","70510-4612","","4","Career","Local (includes career, combination, and volunteer)","37","0","0","1","0","Sub Station 2","","307 Joffre ST","","Abbeville","LA","70510-4409"
"57001","Abbeville Fire Department","210 W Vermilion ST","","Abbeville","VERMILION                ","LA","70510-4612","210 W Vermilion ST","","","Abbeville","LA","70510-4612","","4","Career","Local (includes career, combination, and volunteer)","37","0","0","1","0","Sub Station 3","","800 Maude AVE","","Abbeville","LA","70510-6828"
"57001","Abbeville Fire Department","210 W Vermilion ST","","Abbeville","VERMILION                ","LA","70510-4612","210 W Vermilion ST","","","Abbeville","LA","70510-4612","","4","Career","Local (includes career, combination, and volunteer)","37","0","0","1","0","Central Station","","210 W Vermillion ST","","Abbeville","LA","70510-4612"
"12002","Aberdeen Fire Department, Inc.","21 N. Rogers ST","","Aberdeen","HARFORD                  ","MD","21001-2442","21 N Rogers  ST","","","Aberdeen","MD","21001-2442","","4","Volunteer","Local (includes career, combination, and volunteer)","0","75","0","0","0","Aberdeen Fire Department, Inc House 3","","634 Northern Thruway","","Aberdeen","MD","21001"
"12002","Aberdeen Fire Department, Inc.","21 N. Rogers ST","","Aberdeen","HARFORD                  ","MD","21001-2442","21 N Rogers  ST","","","Aberdeen","MD","21001-2442","","4","Volunteer","Local (includes career, combination, and volunteer)","0","75","0","0","0","Aberdeen Fire Department, Inc House 4","","1432 Perryman  RD","","Aberdeen","MD","21001"
"12002","Aberdeen Fire Department, Inc.","21 N. Rogers ST","","Aberdeen","HARFORD                  ","MD","21001-2442","21 N Rogers  ST","","","Aberdeen","MD","21001-2442","","4","Volunteer","Local (includes career, combination, and volunteer)","0","75","0","0","0","Aberdeen Fire Department, Inc House 2","","102 E Bel Air AVE","","Aberdeen","MD","21001"
